,recency_days,frequency,monetary,avg_transaction_value,avg_discount_rate,avg_app_time_min,payment_method_count
recency_days,1.0,-0.56919449512576,-0.23959053674684924,0.00867474039834973,-0.19272338078891874,-0.1594194761394761,-0.2864837811274751
frequency,-0.56919449512576,1.0,0.6480087641848227,0.22039407009435402,0.15348365244776876,0.4172180000509234,0.2825540035285294
monetary,-0.23959053674684924,0.6480087641848227,1.0,0.8665544885239542,-0.33776843237369647,0.3076685202030262,0.14802569790902068
avg_transaction_value,0.00867474039834973,0.22039407009435402,0.8665544885239542,1.0,-0.5187575061143208,0.1110885835594551,0.028899687382104862
avg_discount_rate,-0.19272338078891874,0.15348365244776876,-0.33776843237369647,-0.5187575061143208,1.0,0.10224523962714704,0.08812939953081782
avg_app_time_min,-0.1594194761394761,0.4172180000509234,0.3076685202030262,0.1110885835594551,0.10224523962714704,1.0,0.09128567751981474
payment_method_count,-0.2864837811274751,0.2825540035285294,0.14802569790902068,0.028899687382104862,0.08812939953081782,0.09128567751981474,1.0
