k,silhouette,calinski_harabasz,davies_bouldin,inertia
2,0.2961489683998287,287.9414870469188,1.2585904621468753,3527.261869712976
3,0.31794383646364216,358.23596427255035,1.1716031016090376,2527.6980219101592
4,0.3566446820698353,415.1545321190081,1.035961347582234,1871.5983997060662
5,0.2954381914679556,384.0808184539744,1.2066750791483833,1636.8386327452529
6,0.2658462545199772,350.76225779943456,1.3050461132789837,1495.8721693631016
7,0.24487507989439838,323.33837467249424,1.3447565850596743,1392.7397996186783
8,0.24243306555261002,305.0525408711784,1.3251446955879072,1298.6410583778982
