cluster,segment_name,customers,percentage,recency_days,frequency,monetary,avg_transaction_value,avg_discount_rate,avg_app_time_min,recommended_action,priority
0,Regular Valuable,360,45.0,5.738888888888889,87.48333333333333,4927830.575,56516.00213297469,0.01606231559719803,14.051598767187155,"Retention, cross-sell, loyalty engagement",High
1,Discount-Driven,238,29.75,4.5210084033613445,97.1218487394958,3457862.899159664,35542.84615193975,0.14721358620943822,17.34846432779446,Targeted promotions and discount optimization,Medium
2,High-Value Loyal,94,11.75,2.9893617021276597,130.5531914893617,11427364.627659574,87648.19091115135,0.008616721581726102,24.26531365317536,"VIP retention, premium offers, priority protection",Critical
3,At-Risk / Dormant,108,13.5,134.96296296296296,52.7037037037037,2771244.824074074,53093.79904118927,0.01495283158691119,12.822704628373932,Win-back campaigns and reactivation,High
